Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
4202026000009245599000133739175194,3,NP,N,00000,00000,00000,1.58,03,2.67,
4202026000009245699000133751839757,3,NP,N,00000,00000,00000,8.46,04,4.92,
4202026000009245799000133715420890,3,NP,N,00000,00000,00000,4.83,03,3.48,
4202026000009245899000133742343234,3,NP,N,00000,00000,00000,4.62,05,3.98,
4202026000009245999000133791929328,3,NP,N,00000,00000,00000,10.06,08,9.06,
4202026000009246099000133701261023,3,NP,N,00000,00000,00000,4.73,04,3.68,
4202026000009246199000133715232993,3,NP,N,00000,00000,00000,0.36,04,2.6,
4202026000009246299000133740416544,3,NP,N,00000,00000,00000,10.49,01,4.66,
4202026000009246399000133786771446,3,NP,N,00000,00000,00000,12.06,07,8.5,
4202026000009246499000133756250041,3,NP,N,00000,00000,00000,6.74,01,3.74,
4202026000009246799000133740281368,3,NP,N,00000,00000,00000,9.2,01,4.43,
4202026000009246899000133781259651,3,NP,N,00000,00000,00000,11.36,06,7.53,
4202026000009246999000133708519561,3,NP,N,00000,00000,00000,0.37,01,2.48,
4202026000009247099000133716020276,3,NP,N,00000,00000,00000,1.15,01,2.48,
4202026000009247299000133736092782,3,NP,N,00000,00000,00000,1.48,03,2.54,
4202026000009247399000133739291623,3,NP,N,00000,00000,00000,14.63,01,5.58,
4202026000009247799000133781560032,3,NP,N,00000,00000,00000,8.67,07,6.54,
4202026000009267399000133775957382,3,NP,N,00000,00000,00000,9.19,03,4.83,
4202026000009267499000133701416611,3,NP,N,00000,00000,00000,5.92,04,3.99,
4202026000009241999000133711451535,4,NP,N,00000,00000,00000,8.94,05,5.46,
4202026000009242099000133788188800,4,NP,N,00000,00000,00000,6.43,06,5.28,
4202026000009242199000133748975413,4,NP,N,00000,00000,00000,6.55,04,4.3,
4202026000009242299000133746470776,4,NP,N,00000,00000,00000,2.43,03,2.81,
4202026000009242399000133783600479,4,NP,N,00000,00000,00000,10.68,01,4.66,
4202026000009242499000133737042116,4,NP,N,00000,00000,00000,7.02,08,7.17,
4202026000009242599000133729413564,4,NP,N,00000,00000,00000,11.86,01,4.89,
4202026000009242699000133721598909,4,NP,N,00000,00000,00000,13.31,05,7.31,
4202026000009242799000133719110831,4,NP,N,00000,00000,00000,5.53,08,5.91,
4202026000009242899000133735166836,4,NP,N,00000,00000,00000,13.19,06,8.43,
4202026000009243099000133737472822,4,NP,N,00000,00000,00000,3.91,06,3.93,
4202026000009243199000133758858562,4,NP,N,00000,00000,00000,7.24,07,6.05,
4202026000009243299000133758797114,4,NP,N,00000,00000,00000,1.87,01,2.59,
4202026000009243499000133766626735,4,NP,N,00000,00000,00000,8.28,07,6.54,
4202026000009243599000133730659002,4,NP,N,00000,00000,00000,9.45,08,8.43,
4202026000009243699000133765030061,4,NP,N,00000,00000,00000,11.96,04,5.85,
4202026000009243799000133778088060,4,NP,N,00000,00000,00000,3.37,01,2.94,
4202026000009243999000133747996129,4,NP,N,00000,00000,00000,1.47,08,3.08,
4202026000009244699000133724848607,4,NP,N,00000,00000,00000,10.89,01,4.66,
4202026000009244799000133738312842,4,NP,N,00000,00000,00000,4.44,08,4.97,
4202026000009244899000133742248237,4,NP,N,00000,00000,00000,12.16,07,8.5,
4202026000009244999000133732586987,4,NP,N,00000,00000,00000,12.32,08,10.32,
4202026000009245299000133764069096,4,NP,N,00000,00000,00000,10.89,07,7.52,
4202026000009245399000133778662659,4,NP,N,00000,00000,00000,3.42,08,4.34,
4202026000009245499000133710116896,4,NP,N,00000,00000,00000,9.56,01,4.43,
4202026000009245599000133749330493,4,NP,N,00000,00000,00000,4.09,01,3.17,
4202026000009245699000133758551645,4,NP,N,00000,00000,00000,14.53,08,11.58,
4202026000009245799000133733127115,4,NP,N,00000,00000,00000,4.88,08,5.28,
4202026000009245899000133705293083,4,NP,N,00000,00000,00000,4.88,03,3.48,
4202026000009245999000133731699725,4,NP,N,00000,00000,00000,9.98,06,6.63,
4202026000009246099000133711117275,4,NP,N,00000,00000,00000,6.11,07,5.56,
4202026000009246199000133782937779,4,NP,N,00000,00000,00000,11.79,01,4.89,
4202026000009246299000133766902502,4,NP,N,00000,00000,00000,8.91,01,4.2,
4202026000009246399000133728106199,4,NP,N,00000,00000,00000,6.55,08,6.54,
4202026000009246499000133732841219,4,NP,N,00000,00000,00000,14.35,04,6.78,
4202026000009246799000133786221930,4,NP,N,00000,00000,00000,2.41,06,3.26,
4202026000009246899000133704825465,4,NP,N,00000,00000,00000,7.82,01,3.97,
4202026000009246999000133773798037,4,NP,N,00000,00000,00000,5.0,03,3.48,
4202026000009247099000133760418343,4,NP,N,00000,00000,00000,9.94,05,5.83,
4202026000009247299000133769466331,4,NP,N,00000,00000,00000,9.92,07,7.03,
4202026000009247399000133708598113,4,NP,N,00000,00000,00000,10.56,03,5.1,
4202026000009247799000133749078788,4,NP,N,00000,00000,00000,5.65,04,3.99,
4202026000009267399000133796757853,4,NP,N,00000,00000,00000,5.96,04,3.99,
4202026000009267499000133725155098,4,NP,N,00000,00000,00000,11.03,03,5.37,
4202026000009241999000133789597009,4,NP,N,00000,00000,00000,7.39,03,4.29,
4202026000009242099000133712578564,4,NP,N,00000,00000,00000,1.13,06,2.81,
4202026000009242199000133743400876,4,NP,N,00000,00000,00000,12.0,04,5.85,
4202026000009242299000133757280456,4,NP,N,00000,00000,00000,14.01,06,8.88,
4202026000009242399000133781434537,4,NP,N,00000,00000,00000,14.24,07,9.48,
4202026000009242499000133707335088,4,NP,N,00000,00000,00000,3.95,08,4.65,
4202026000009242599000133726820620,4,NP,N,00000,00000,00000,14.34,08,11.58,
4202026000009242699000133759063119,4,NP,N,00000,00000,00000,2.93,03,2.94,
4202026000009242799000133726343697,4,NP,N,00000,00000,00000,6.54,03,4.02,
4202026000009242899000133721757490,4,NP,N,00000,00000,00000,14.48,01,5.58,
4202026000009243099000133756706862,4,NP,N,00000,00000,00000,3.36,07,3.85,
4202026000009243199000133784636293,4,NP,N,00000,00000,00000,9.25,01,4.43,
4202026000009243299000133791905692,4,NP,N,00000,00000,00000,5.52,05,4.35,
4202026000009243499000133720472050,4,NP,N,00000,00000,00000,10.86,06,7.08,
4202026000009243599000133773421778,4,NP,N,00000,00000,00000,0.25,03,2.54,
4202026000009243699000133741870062,4,NP,N,00000,00000,00000,2.95,07,3.6,
4202026000009243799000133737092443,4,NP,N,00000,00000,00000,12.4,01,5.12,
4202026000009243999000133767808995,4,NP,N,00000,00000,00000,11.74,07,8.01,
4202026000009244699000133731322569,4,NP,N,00000,00000,00000,6.96,06,5.28,
4202026000009244799000133726052257,4,NP,N,00000,00000,00000,5.92,01,3.51,
4202026000009244899000133754870982,4,NP,N,00000,00000,00000,12.41,01,5.12,
4202026000009244999000133777756631,4,NP,N,00000,00000,00000,0.53,03,2.54,
4202026000009245299000133792865676,4,NP,N,00000,00000,00000,13.0,01,5.12,
4202026000009245399000133741667525,4,NP,N,00000,00000,00000,1.6,06,3.03,
4202026000009245499000133740136488,4,NP,N,00000,00000,00000,9.98,08,8.43,
4202026000009245599000133716820089,4,NP,N,00000,00000,00000,10.77,06,7.08,
4202026000009245699000133746882051,4,NP,N,00000,00000,00000,0.23,01,2.48,
4202026000009245799000133737684384,4,NP,N,00000,00000,00000,7.29,03,4.29,
4202026000009245899000133799071401,4,NP,N,00000,00000,00000,2.15,04,2.91,
4202026000009245999000133796148936,4,NP,N,00000,00000,00000,7.38,03,4.29,
4202026000009246099000133703960260,4,NP,N,00000,00000,00000,13.72,01,5.35,
4202026000009246199000133766916289,4,NP,N,00000,00000,00000,10.7,04,5.54,
4202026000009246299000133714181616,4,NP,N,00000,00000,00000,7.33,05,5.09,
4202026000009246399000133759936828,4,NP,N,00000,00000,00000,11.78,08,9.69,
4202026000009246499000133769530614,4,NP,N,00000,00000,00000,10.67,05,6.2,
4202026000009246799000133734937474,4,NP,N,00000,00000,00000,14.99,06,8.88,
4202026000009246899000133791705798,4,NP,N,00000,00000,00000,12.63,04,6.16,
4202026000009246999000133724538512,4,NP,N,00000,00000,00000,6.01,04,4.3,
4202026000009247099000133717733611,4,NP,N,00000,00000,00000,11.65,04,5.85,
4202026000009247299000133787633978,4,NP,N,00000,00000,00000,8.05,04,4.92,
4202026000009247399000133798187020,4,NP,N,00000,00000,00000,8.02,04,4.92,
4202026000009247799000133754059552,4,NP,N,00000,00000,00000,3.68,08,4.65,
4202026000009267399000133760280702,4,NP,N,00000,00000,00000,7.49,06,5.73,
4202026000009267499000133784739952,4,NP,N,00000,00000,00000,12.11,01,5.12,
4202026000009241999000133771148838,5,NP,N,00000,00000,00000,10.97,01,4.66,
4202026000009242099000133789962509,5,NP,N,00000,00000,00000,10.66,07,7.52,
4202026000009242199000133744853978,5,NP,N,00000,00000,00000,7.2,04,4.61,
4202026000009242299000133777385474,5,NP,N,00000,00000,00000,7.4,04,4.61,
4202026000009242399000133777500949,5,NP,N,00000,00000,00000,14.29,01,5.58,
4202026000009242499000133713743191,5,NP,N,00000,00000,00000,10.22,08,9.06,
4202026000009242599000133793674438,5,NP,N,00000,00000,00000,11.54,01,4.89,
4202026000009242699000133742387128,5,NP,N,00000,00000,00000,7.16,06,5.73,
4202026000009242799000133774672482,5,NP,N,00000,00000,00000,4.86,08,5.28,
4202026000009242899000133736246647,5,NP,N,00000,00000,00000,0.55,03,2.54,
4202026000009243099000133741486450,5,NP,N,00000,00000,00000,5.1,06,4.83,
4202026000009243199000133784137510,5,NP,N,00000,00000,00000,1.26,01,2.48,
4202026000009243299000133719154230,5,NP,N,00000,00000,00000,1.02,04,2.6,
4202026000009243499000133718461762,5,NP,N,00000,00000,00000,0.11,01,2.48,
4202026000009243599000133731646309,5,NP,N,00000,00000,00000,14.42,05,7.68,
4202026000009243699000133773671143,5,NP,N,00000,00000,00000,2.38,06,3.26,
4202026000009243799000133728547481,5,NP,N,00000,00000,00000,5.8,01,3.51,
4202026000009243999000133713741674,5,NP,N,00000,00000,00000,8.08,01,4.2,
4202026000009244699000133730967253,5,NP,N,00000,00000,00000,9.17,07,7.03,
4202026000009244799000133706856453,5,NP,N,00000,00000,00000,14.48,03,6.18,
4202026000009244899000133716229441,5,NP,N,00000,00000,00000,7.72,01,3.97,
4202026000009244999000133714065566,5,NP,N,00000,00000,00000,5.59,01,3.51,
4202026000009245299000133753532497,5,NP,N,00000,00000,00000,12.83,01,5.12,
4202026000009245399000133791850998,5,NP,N,00000,00000,00000,5.98,01,3.51,
4202026000009245499000133716200834,5,NP,N,00000,00000,00000,2.9,07,3.6,
4202026000009245599000133771473624,5,NP,N,00000,00000,00000,0.37,01,2.48,
4202026000009245699000133722615125,5,NP,N,00000,00000,00000,1.04,03,2.54,
4202026000009245799000133783947793,5,NP,N,00000,00000,00000,5.68,06,4.83,
4202026000009245899000133771893916,5,NP,N,00000,00000,00000,9.03,04,5.23,
4202026000009245999000133711698992,5,NP,N,00000,00000,00000,2.14,03,2.81,
4202026000009246099000133766901799,5,NP,N,00000,00000,00000,8.87,05,5.46,
4202026000009246199000133707074579,5,NP,N,00000,00000,00000,13.93,03,5.91,
4202026000009246299000133744331367,5,NP,N,00000,00000,00000,7.34,03,4.29,
4202026000009246399000133720700393,5,NP,N,00000,00000,00000,11.78,05,6.57,
4202026000009246499000133758412866,5,NP,N,00000,00000,00000,8.58,03,4.56,
4202026000009246799000133759626076,5,NP,N,00000,00000,00000,0.62,05,2.69,
4202026000009246899000133728368689,5,NP,N,00000,00000,00000,10.07,06,7.08,
4202026000009246999000133760635160,5,NP,N,00000,00000,00000,9.51,06,6.63,
4202026000009247099000133783048227,5,NP,N,00000,00000,00000,11.5,08,9.69,
4202026000009247299000133717497841,5,NP,N,00000,00000,00000,8.97,03,4.56,
4202026000009247399000133703419029,5,NP,N,00000,00000,00000,7.7,03,4.29,
4202026000009247799000133788134903,5,NP,N,00000,00000,00000,4.98,06,4.38,
4202026000009267399000133747530463,5,NP,N,00000,00000,00000,2.02,07,3.36,
4202026000009267499000133742203432,5,NP,N,00000,00000,00000,11.56,07,8.01,
4202026000009241999000133749324489,5,NP,N,00000,00000,00000,12.53,08,10.32,
4202026000009242099000133733830281,5,NP,N,00000,00000,00000,8.33,08,7.8,
4202026000009242199000133737202933,5,NP,N,00000,00000,00000,9.19,06,6.63,
4202026000009242299000133797705249,5,NP,N,00000,00000,00000,14.93,01,5.58,
4202026000009242399000133704407826,5,NP,N,00000,00000,00000,8.26,04,4.92,
4202026000009242499000133710454698,5,NP,N,00000,00000,00000,8.49,06,6.18,
4202026000009242599000133725848645,5,NP,N,00000,00000,00000,8.99,03,4.56,
4202026000009242699000133743161288,5,NP,N,00000,00000,00000,1.42,08,3.08,
4202026000009242799000133715370866,5,NP,N,00000,00000,00000,0.3,07,2.87,
4202026000009242899000133719724024,5,NP,N,00000,00000,00000,14.51,04,6.78,
4202026000009243099000133760190940,5,NP,N,00000,00000,00000,14.18,03,6.18,
4202026000009243199000133774109333,5,NP,N,00000,00000,00000,10.93,06,7.08,
4202026000009243299000133777075260,5,NP,N,00000,00000,00000,2.39,04,2.91,
4202026000009243499000133702478983,5,NP,N,00000,00000,00000,13.67,01,5.35,
4202026000009243599000133724619255,5,NP,N,00000,00000,00000,8.64,06,6.18,
4202026000009243699000133726816220,5,NP,N,00000,00000,00000,8.77,04,4.92,
4202026000009243799000133734753917,5,NP,N,00000,00000,00000,13.14,07,8.99,
4202026000009243999000133758471536,5,NP,N,00000,00000,00000,3.83,01,3.05,
4202026000009244699000133777567119,5,NP,N,00000,00000,00000,3.03,06,3.71,
4202026000009244799000133703263136,5,NP,N,00000,00000,00000,10.84,04,5.54,
4202026000009244899000133743994227,5,NP,N,00000,00000,00000,3.89,04,3.37,
4202026000009244999000133709667683,5,NP,N,00000,00000,00000,11.99,05,6.57,
4202026000009245299000133717248961,5,NP,N,00000,00000,00000,9.71,01,4.43,
4202026000009245399000133739288991,5,NP,N,00000,00000,00000,12.4,06,7.98,
4202026000009245499000133725321849,5,NP,N,00000,00000,00000,4.08,06,4.16,
4202026000009245599000133777989979,5,NP,N,00000,00000,00000,8.65,03,4.56,
4202026000009245699000133753342265,5,NP,N,00000,00000,00000,12.84,07,8.5,
4202026000009245799000133738698903,5,NP,N,00000,00000,00000,10.29,06,7.08,
4202026000009245899000133773854915,5,NP,N,00000,00000,00000,6.08,05,4.72,
4202026000009245999000133784213813,5,NP,N,00000,00000,00000,11.25,03,5.37,
4202026000009246099000133733438363,5,NP,N,00000,00000,00000,1.45,07,2.87,
4202026000009246199000133704922223,5,NP,N,00000,00000,00000,6.1,06,5.28,
4202026000009246299000133783498589,5,NP,N,00000,00000,00000,9.2,06,6.63,
4202026000009246399000133747561777,5,NP,N,00000,00000,00000,2.26,05,3.06,
4202026000009246499000133736783010,5,NP,N,00000,00000,00000,3.26,07,3.85,
4202026000009246799000133793023092,5,NP,N,00000,00000,00000,3.84,01,3.05,
4202026000009246899000133748529701,5,NP,N,00000,00000,00000,6.27,01,3.74,
4202026000009246999000133717995357,5,NP,N,00000,00000,00000,0.44,04,2.6,
4202026000009247099000133704883148,5,NP,N,00000,00000,00000,3.57,05,3.61,
4202026000009247299000133700970649,5,NP,N,00000,00000,00000,3.97,01,3.05,
4202026000009247399000133734478358,5,NP,N,00000,00000,00000,13.09,01,5.35,
4202026000009247799000133714966145,5,NP,N,00000,00000,00000,9.33,03,4.83,
4202026000009267399000133724809894,5,NP,N,00000,00000,00000,2.81,03,2.94,
4202026000009267499000133748209597,5,NP,N,00000,00000,00000,8.86,05,5.46,
4202026000009241999000133733793101,3,PR,N,00000,00000,00000,8.71,08,6.58,
4202026000009242099000133726357718,3,PR,N,00000,00000,00000,12.06,03,3.95,
4202026000009242199000133757408764,3,PR,N,00000,00000,00000,10.18,01,3.23,
4202026000009242299000133762653780,3,PR,N,00000,00000,00000,7.37,06,4.33,
4202026000009242399000133751798024,3,PR,N,00000,00000,00000,6.05,04,2.98,
4202026000009242499000133707356696,3,PR,N,00000,00000,00000,9.02,08,6.76,
4202026000009242599000133780829023,3,PR,N,00000,00000,00000,12.11,08,8.56,
4202026000009242699000133712002975,3,PR,N,00000,00000,00000,0.05,08,1.52,
4202026000009242799000133739720077,3,PR,N,00000,00000,00000,0.65,06,1.74,
4202026000009242899000133792231852,3,PR,N,00000,00000,00000,13.39,04,4.8,
4202026000009243099000133765179312,3,PR,N,00000,00000,00000,7.17,01,2.72,
4202026000009243199000133728270548,3,PR,N,00000,00000,00000,13.33,01,3.77,
4202026000009243299000133756665702,3,PR,N,00000,00000,00000,0.34,03,1.56,
4202026000009243499000133714798692,3,PR,N,00000,00000,00000,11.24,06,5.83,
4202026000009243599000133747087763,3,PR,N,00000,00000,00000,4.69,07,3.57,
4202026000009243699000133770490991,3,PR,N,00000,00000,00000,3.09,08,3.29,
4202026000009243799000133773378295,3,PR,N,00000,00000,00000,5.18,05,3.11,
4202026000009243999000133745245355,3,PR,N,00000,00000,00000,5.53,03,2.62,
4202026000009244699000133765201516,3,PR,N,00000,00000,00000,14.62,06,7.13,
4202026000009244799000133736190535,3,PR,N,00000,00000,00000,0.36,08,1.7,
4202026000009244899000133762318201,3,PR,N,00000,00000,00000,1.04,01,1.67,
4202026000009244999000133715282536,3,PR,N,00000,00000,00000,7.17,05,3.73,
4202026000009245299000133724923218,3,PR,N,00000,00000,00000,8.71,04,3.64,
4202026000009245399000133796073340,3,PR,N,00000,00000,00000,11.71,03,3.88,
4202026000009245499000133756923918,3,PR,N,00000,00000,00000,2.63,06,2.51,
4202026000009245599000133715624140,3,PR,N,00000,00000,00000,4.08,01,2.19,
4202026000009245699000133774445142,3,PR,N,00000,00000,00000,12.49,08,8.78,
4202026000009245799000133703564065,3,PR,N,00000,00000,00000,9.43,05,4.44,
4202026000009245899000133761411419,3,PR,N,00000,00000,00000,0.46,06,1.67,
4202026000009245999000133798048870,3,PR,N,00000,00000,00000,10.71,07,6.25,
4202026000009246099000133767598145,3,PR,N,00000,00000,00000,6.77,04,3.16,
4202026000009246199000133773430175,3,PR,N,00000,00000,00000,12.69,04,4.62,
4202026000009246299000133750234596,3,PR,N,00000,00000,00000,1.35,04,1.82,
4202026000009246399000133754580007,3,PR,N,00000,00000,00000,7.82,06,4.51,
4202026000009246499000133778218120,3,PR,N,00000,00000,00000,2.02,01,1.84,
4202026000009246799000133773626527,3,PR,N,00000,00000,00000,2.94,04,2.22,
4202026000009246899000133717943332,3,PR,N,00000,00000,00000,10.75,05,4.85,
4202026000009246999000133775798146,3,PR,N,00000,00000,00000,11.46,01,3.45,
4202026000009247099000133734428172,3,PR,N,00000,00000,00000,0.71,08,1.9,
4202026000009247299000133798787889,3,PR,N,00000,00000,00000,8.35,07,5.2,
4202026000009247399000133792587507,3,PR,N,00000,00000,00000,10.82,04,4.16,
4202026000009247799000133747299256,3,PR,N,00000,00000,00000,0.97,04,1.73,
4202026000009267399000133707636385,3,PR,N,00000,00000,00000,6.24,03,2.76,
4202026000009267499000133793881641,3,PR,N,00000,00000,00000,2.1,01,1.85,
4202026000009241999000133738548719,3,PR,N,00000,00000,00000,13.44,06,6.68,
4202026000009242099000133783650523,3,PR,N,00000,00000,00000,9.63,07,5.77,
4202026000009242199000133748040348,3,PR,N,00000,00000,00000,4.18,01,2.2,
4202026000009242299000133713202952,3,PR,N,00000,00000,00000,8.48,04,3.58,
4202026000009242399000133754893718,3,PR,N,00000,00000,00000,13.04,04,4.71,
4202026000009242499000133717116328,3,PR,N,00000,00000,00000,11.89,01,3.52,
4202026000009242599000133787146631,3,PR,N,00000,00000,00000,10.78,04,4.15,
4202026000009242699000133765582260,3,PR,N,00000,00000,00000,4.55,08,4.15,
4202026000009242799000133758993935,3,PR,N,00000,00000,00000,7.76,05,3.92,
4202026000009242899000133761225802,3,PR,N,00000,00000,00000,3.45,07,3.02,
4202026000009243099000133737646803,3,PR,N,00000,00000,00000,5.67,05,3.26,
4202026000009243199000133728977033,3,PR,N,00000,00000,00000,10.92,05,4.91,
4202026000009243299000133706813761,3,PR,N,00000,00000,00000,5.42,04,2.83,
4202026000009243499000133786546766,3,PR,N,00000,00000,00000,3.87,01,2.15,
4202026000009243599000133775435749,3,PR,N,00000,00000,00000,6.92,01,2.67,
4202026000009243699000133750443257,3,PR,N,00000,00000,00000,5.82,01,2.49,
4202026000009243799000133711355177,3,PR,N,00000,00000,00000,7.47,01,2.77,
4202026000009243999000133732196562,3,PR,N,00000,00000,00000,1.59,03,1.81,
4202026000009244699000133792756316,3,PR,N,00000,00000,00000,8.15,04,3.5,
4202026000009244799000133714983975,3,PR,N,00000,00000,00000,1.05,01,1.67,
4202026000009244899000133787936712,3,PR,N,00000,00000,00000,5.31,01,2.4,
4202026000009244999000133753510425,3,PR,N,00000,00000,00000,8.47,04,3.58,
4202026000009245299000133706176013,3,PR,N,00000,00000,00000,10.64,03,3.66,
4202026000009245399000133719133970,3,PR,N,00000,00000,00000,1.43,03,1.78,
4202026000009245499000133751206745,3,PR,N,00000,00000,00000,10.47,01,3.28,
4202026000009245599000133731910569,3,PR,N,00000,00000,00000,6.0,04,2.97,
4202026000009245699000133795424011,3,PR,N,00000,00000,00000,0.89,04,1.71,
4202026000009245799000133736202456,3,PR,N,00000,00000,00000,6.27,06,3.91,
4202026000009245899000133713742890,3,PR,N,00000,00000,00000,14.17,01,3.91,
4202026000009245999000133722037710,3,PR,N,00000,00000,00000,3.7,06,2.92,
4202026000009246099000133704484253,3,PR,N,00000,00000,00000,0.19,07,1.57,
4202026000009246199000133724182480,3,PR,N,00000,00000,00000,3.17,06,2.71,
4202026000009246299000133788524342,3,PR,N,00000,00000,00000,4.61,03,2.43,
4202026000009246399000133728483012,3,PR,N,00000,00000,00000,6.04,01,2.52,
4202026000009246499000133726712549,3,PR,N,00000,00000,00000,14.32,08,9.85,
4202026000009246799000133740898070,3,PR,N,00000,00000,00000,13.95,06,6.87,
4202026000009246899000133709988843,3,PR,N,00000,00000,00000,7.32,06,4.32,
4202026000009246999000133755884289,3,PR,N,00000,00000,00000,8.32,08,6.35,
4202026000009247099000133764739672,3,PR,N,00000,00000,00000,2.82,05,2.37,
